epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.2935,1.02614,0.63492,1,0.70721,0.00024293,0.00024293,0.00024293
2,35.6582,0.54884,0.98413,1,0.29358,0.000490247,0.000490247,0.000490247
3,45.4982,0.21847,0.98413,1,0.10623,0.000727378,0.000727378,0.000727378
4,54.3651,0.08634,0.98413,1,0.04492,0.000954323,0.000954323,0.000954323
5,66.2913,0.08668,1,1,0.01233,0.00117108,0.00117108,0.00117108
6,73.442,0.04922,1,1,0.00596,0.00128753,0.00128753,0.00128753
7,81.6505,0.04012,1,1,0.01076,0.00125923,0.00125923,0.00125923
8,90.0028,0.07206,1,1,0.0095,0.00123094,0.00123094,0.00123094
9,99.5735,0.05268,0.98413,1,0.03026,0.00120265,0.00120265,0.00120265
10,106.986,0.02886,1,1,0.01123,0.00117435,0.00117435,0.00117435
11,115.242,0.05028,1,1,0.00194,0.00114606,0.00114606,0.00114606
12,124.885,0.02055,1,1,0.00183,0.00111776,0.00111776,0.00111776
13,131.317,0.02558,1,1,0.00258,0.00108947,0.00108947,0.00108947
14,139.144,0.03931,0.98413,1,0.01376,0.00106118,0.00106118,0.00106118
15,146.958,0.04696,1,1,0.00369,0.00103288,0.00103288,0.00103288
