epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.69167,2.25362,3.7721,2.37242,0.01117,1,0.14785,0.05069,1.19473,3.67679,1.82429,0.00011432,0.00011432,0.00011432
2,16.4192,1.46899,3.21063,1.76272,0.01014,1,0.40628,0.22744,0.792,3.47178,1.54257,0.000240525,0.000240525,0.000240525
3,23.0996,0.9694,2.74469,1.36852,0.0102,1,0.53398,0.25806,0.90114,3.29487,2.04439,0.000364184,0.000364184,0.000364184
4,29.7667,0.82514,2.49134,1.31458,0.0104,1,0.68379,0.53229,0.58836,3.10608,1.24381,0.000485296,0.000485296,0.000485296
5,36.4626,0.79939,2.14551,1.2411,0.01036,1,0.71624,0.54847,0.63456,2.86699,1.29793,0.000603861,0.000603861,0.000603861
6,43.1826,0.70717,1.98927,1.21,0.72705,0.59831,0.89421,0.74079,0.64123,2.45517,1.39376,0.00071988,0.00071988,0.00071988
7,49.8957,0.70432,1.91252,1.1922,0.84463,0.84046,0.94841,0.77507,0.75731,2.31717,1.49361,0.000833353,0.000833353,0.000833353
8,56.5853,0.6509,1.68509,1.14508,0.91758,0.55556,0.74147,0.59431,0.82791,2.55859,1.41788,0.000944279,0.000944279,0.000944279
9,63.2675,0.63978,1.54869,1.10442,0.91758,0.55556,0.74147,0.59431,0.82791,2.55859,1.41788,0.00105266,0.00105266,0.00105266
10,69.9778,0.65449,1.51966,1.13083,0.89033,0.42744,0.72164,0.54545,0.92137,2.81035,1.45928,0.00115849,0.00115849,0.00115849
11,76.6839,0.58304,1.43077,1.10708,0.89033,0.42744,0.72164,0.54545,0.92137,2.81035,1.45928,0.00126178,0.00126178,0.00126178
12,83.4021,0.51983,1.33292,1.05315,0.63119,0.90215,0.995,0.85584,0.51122,1.76301,1.19973,0.00127338,0.00127338,0.00127338
13,90.1684,0.56688,1.40522,1.10272,0.63119,0.90215,0.995,0.85584,0.51122,1.76301,1.19973,0.00125923,0.00125923,0.00125923
14,96.9707,0.528,1.24663,1.03361,0.94946,0.61111,0.91629,0.81565,0.54091,1.93865,1.20267,0.00124509,0.00124509,0.00124509
15,103.793,0.55052,1.33269,1.08459,0.90287,0.77778,0.94056,0.8453,0.52351,1.63029,1.13207,0.00123094,0.00123094,0.00123094
16,110.559,0.62685,1.23805,1.08016,0.90287,0.77778,0.94056,0.8453,0.52351,1.63029,1.13207,0.00121679,0.00121679,0.00121679
17,117.316,0.54515,1.22051,1.06307,0.85807,0.94444,0.98738,0.86885,0.55863,1.55578,1.21647,0.00120265,0.00120265,0.00120265
18,124.068,0.52089,1.22673,1.06423,0.85807,0.94444,0.98738,0.86885,0.55863,1.55578,1.21647,0.0011885,0.0011885,0.0011885
19,130.846,0.52218,1.15277,1.06453,0.85961,0.99189,0.995,0.91988,0.4544,1.36531,1.11411,0.00117435,0.00117435,0.00117435
20,137.594,0.50576,1.15779,1.06199,0.85961,0.99189,0.995,0.91988,0.4544,1.36531,1.11411,0.00116021,0.00116021,0.00116021
21,144.366,0.47711,1.01737,0.99204,0.83929,0.92752,0.97722,0.87905,0.53053,1.64011,1.21569,0.00114606,0.00114606,0.00114606
