epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.04675,1.84879,3.18239,1.77165,0.01093,1,0.37711,0.24463,1.22219,2.94385,1.18645,0.0004287,0.0004287,0.0004287
2,8.48035,1.36566,2.78428,1.43114,0.95347,0.33333,0.55074,0.32618,1.24126,2.24879,1.21996,0.00086306,0.00086306,0.00086306
3,11.9202,1.22729,2.45024,1.34011,0.63108,0.53333,0.70817,0.38168,1.31008,2.0161,1.25504,0.00128865,0.00128865,0.00128865
4,15.3345,1.16237,2.16993,1.29538,0.62477,0.56243,0.49596,0.24175,1.55883,3.44849,1.38311,0.00138656,0.00138656,0.00138656
5,18.7724,1.24081,2.04924,1.31522,0.47947,0.91486,0.69461,0.41855,0.99186,2.52237,1.13885,0.00137241,0.00137241,0.00137241
6,22.2221,1.2269,1.9557,1.31752,0.74426,0.8,0.75431,0.50843,0.97028,1.69263,1.10746,0.00135826,0.00135826,0.00135826
7,25.8043,1.0581,1.73408,1.22274,1,0.51605,0.71339,0.47539,1.19234,1.4706,1.14288,0.00134412,0.00134412,0.00134412
8,29.2043,0.95604,1.6265,1.16018,0.78993,0.8591,0.90984,0.59384,1.11921,1.34879,1.11484,0.00132997,0.00132997,0.00132997
9,32.6264,0.91156,1.52978,1.15274,0.73085,0.86904,0.93309,0.72296,0.75184,2.21343,0.98308,0.00131582,0.00131582,0.00131582
10,36.063,0.85426,1.40632,1.13544,0.70555,0.89128,0.94168,0.72596,0.75758,2.5366,0.94768,0.00130168,0.00130168,0.00130168
11,39.5118,0.78591,1.31969,1.10009,0.82421,0.80501,0.94026,0.7622,0.69629,1.85743,0.9152,0.00128753,0.00128753,0.00128753
12,42.9864,0.75944,1.24823,1.05495,0.97315,0.78407,0.96568,0.81669,0.58437,1.11215,0.86095,0.00127338,0.00127338,0.00127338
13,46.4418,0.66158,1.10372,0.99095,0.90721,0.91111,0.96449,0.86021,0.53062,0.85825,0.85948,0.00125923,0.00125923,0.00125923
14,49.9193,0.63935,1.04176,0.98788,0.90844,0.95712,0.95715,0.81502,0.59255,1.02645,0.87786,0.00124509,0.00124509,0.00124509
15,53.3455,0.68505,1.03645,1.01941,0.85565,0.95919,0.94845,0.82034,0.56137,1.06459,0.86144,0.00123094,0.00123094,0.00123094
16,56.7922,0.65211,1.00068,1.00746,0.91565,0.96684,0.98468,0.86663,0.52559,0.92743,0.85887,0.00121679,0.00121679,0.00121679
17,60.2682,0.63429,0.99585,1.00353,0.97593,1,0.995,0.88801,0.55636,0.8122,0.8817,0.00120265,0.00120265,0.00120265
18,63.766,0.63595,0.95447,0.99996,0.97593,1,0.995,0.88801,0.55636,0.8122,0.8817,0.0011885,0.0011885,0.0011885
19,67.2375,0.66712,1.01866,1.02805,0.96835,0.99906,0.98958,0.83814,0.61157,0.86098,0.92897,0.00117435,0.00117435,0.00117435
20,70.7225,0.59851,0.89865,0.97896,0.9803,0.993,0.995,0.8517,0.54935,0.80201,0.88507,0.00116021,0.00116021,0.00116021
21,74.1966,0.59968,0.85461,0.96048,0.97838,0.97778,0.99375,0.86706,0.5579,0.7503,0.87721,0.00114606,0.00114606,0.00114606
22,77.6889,0.59679,0.85633,0.98049,0.96864,0.9982,0.995,0.89054,0.50473,0.69134,0.86982,0.00113191,0.00113191,0.00113191
23,81.1968,0.54643,0.83803,0.95679,0.98831,0.98286,0.995,0.8969,0.47873,0.62734,0.86048,0.00111776,0.00111776,0.00111776
24,84.7731,0.57941,0.81329,0.96466,0.98233,1,0.995,0.90472,0.46421,0.61918,0.84252,0.00110362,0.00110362,0.00110362
25,88.2882,0.52091,0.80761,0.93353,0.99304,0.99978,0.995,0.90913,0.41674,0.59327,0.82786,0.00108947,0.00108947,0.00108947
